pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.ileum_Ensembl_BridgeDb_CD	probabilities.ileum_Ensembl_BridgeDb_CD	GenesInPWs.ileum_Ensembl_Hs_CD	probabilities.ileum_Ensembl_Hs_CD	GenesInPWs.ileum_Ensembl_PriID_BridgeDb_CD	probabilities.ileum_Ensembl_PriID_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_BridgeDb_CD	probabilities.ileum_ENTREZ_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_Hs_CD	probabilities.ileum_ENTREZ_Hs_CD	GenesInPWs.ileum_ENTREZ_PriID_BridgeDb_CD	probabilities.ileum_ENTREZ_PriID_BridgeDb_CD	GenesInPWs.ileum_HGNC_CD	probabilities.ileum_HGNC_CD	GenesInPWs.ileum_HGNC_PriID_BridgeDb_CD	probabilities.ileum_HGNC_PriID_BridgeDb_CD
<https://identifiers.org/wikipathways/WP4493_r120800>	WP4493	Cells and molecules involved in local acute inflammatory response 	17	4	1.47365795109374e-29	4	1.85694850303806e-29	5	2.51995941210423e-27	4	4.3871952722017e-29	4	1.45133012121528e-29	5	6.8937594792436e-27	4	3.45274049877754e-30	5	1.31825632243325e-27
<https://identifiers.org/wikipathways/WP4494_r103559>	WP4494	Selective expression of chemokine receptors during T-cell polarization	29	10	9.6395127478027e-38	10	1.35063651856672e-37	10	3.2298069333374e-38	10	4.7342481923709e-37	10	9.4271705551603e-38	10	1.58415486113446e-37	10	1.16004497913597e-38	10	1.16004497913597e-38
<https://identifiers.org/wikipathways/WP4495_r117759>	WP4495	IL-10 anti-inflammatory signaling pathway 	13	3	5.1329720390952e-24	3	6.13296782087275e-24	3	2.88265004099145e-24	3	1.18893343036624e-23	3	5.0729904041027e-24	3	6.67146470141401e-24	3	1.67946409367207e-24	3	1.67946409367207e-24
<https://identifiers.org/wikipathways/WP4496_r102693>	WP4496	Signal transduction through IL1R	33	9	6.34382522558959e-47	9	9.70757388826112e-47	9	1.59718304701112e-47	9	4.721862364264e-46	9	6.16807410093909e-47	9	1.18704059689206e-46	9	4.38913836135186e-48	9	4.38913836135186e-48
<https://identifiers.org/wikipathways/WP45_r106424>	WP45	G1 to S cell cycle control	66	7	1.15913896598688e-102	7	3.26380736733332e-102	7	4.03656939641175e-104	7	1.53016322202913e-100	7	1.08253404450496e-102	7	5.32431215447555e-102	7	1.73669931548824e-105	7	1.73669931548824e-105
<https://identifiers.org/wikipathways/WP4507_r119314>	WP4507	Molybdenum cofactor (Moco) biosynthesis	8	1	9.86663307336237e-19	1	1.11770797428111e-18	1	6.58589593860051e-19	1	1.77727981556176e-18	1	9.78571198852386e-19	1	1.18559608481693e-18	1	4.51073175344072e-19	1	4.51073175344072e-19
<https://identifiers.org/wikipathways/WP4518_r122628>	WP4518	Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases	6	1	5.10087663284958e-14	1	5.57638878899941e-14	1	3.82100275355155e-14	1	7.76817270242475e-14	1	5.07094197286457e-14	1	5.81642006677515e-14	1	2.91546797249452e-14	1	2.91546797249452e-14
<https://identifiers.org/wikipathways/WP4519_r119988>	WP4519	Cerebral organic acidurias, including diseases	8	1	9.86663307336237e-19	1	1.11770797428111e-18	1	6.58589593860051e-19	1	1.77727981556176e-18	1	9.78571198852386e-19	1	1.18559608481693e-18	1	4.51073175344072e-19	1	4.51073175344072e-19
<https://identifiers.org/wikipathways/WP4521_r119311>	WP4521	Glycosylation and related congenital defects	25	1	4.11220005236946e-53	1	6.29265221410297e-53	1	1.03532742091776e-53	1	3.06080983808996e-52	1	3.99827450141385e-53	1	7.69464515670135e-53	1	2.84513118782057e-54	1	2.84513118782057e-54
<https://identifiers.org/wikipathways/WP4522_r119310>	WP4522	Metabolic pathway of LDL, HDL and TG, including diseases	20	4	2.01587969640393e-35	4	2.67872586085122e-35	4	8.02095106047161e-36	4	7.71004786946909e-35	4	1.97838667227809e-35	4	3.06410805361739e-35	4	3.3840603410908e-36	4	3.3840603410908e-36
<https://identifiers.org/wikipathways/WP4523_r121849>	WP4523	Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism	25	1	4.11220005236946e-53	1	6.29265221410297e-53	1	1.03532742091776e-53	1	3.06080983808996e-52	1	3.99827450141385e-53	1	7.69464515670135e-53	1	2.84513118782057e-54	1	2.84513118782057e-54
<https://identifiers.org/wikipathways/WP453_r116780>	WP453	Inflammatory response pathway	33	11	1.70316828153368e-42	11	2.51605489070882e-42	11	4.8069111379765e-43	10	7.46998626026546e-44	10	1.06152555277163e-44	10	1.98829299979421e-44	11	1.47015386451213e-43	11	1.47015386451213e-43
<https://identifiers.org/wikipathways/WP4532_r103287>	WP4532	Intraflagellar transport proteins binding to dynein	27	1	9.75218719769264e-57	1	1.54575453560279e-56	1	2.19056684540914e-57	1	8.56914257203722e-56	1	9.46000345126562e-57	1	1.92184621219714e-56	1	5.40951912145245e-58	1	5.40951912145245e-58
<https://identifiers.org/wikipathways/WP4533_r103380>	WP4533	Transcription co-factors SKI and SKIL protein partners	18	5	5.3051686239375e-29	5	6.68501461093702e-29	5	2.50742230060121e-29	5	1.5793902979926e-28	5	5.22478843637499e-29	5	7.4571917443741e-29	5	1.24298657955991e-29	5	1.24298657955991e-29
<https://identifiers.org/wikipathways/WP4534_r103303>	WP4534	Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms	46	4	3.20459617891091e-80	4	6.72052264569606e-80	4	2.90294276346642e-81	4	1.05455949175607e-78	4	3.0516283903483e-80	4	9.53806265260692e-80	4	3.06081608907947e-82	4	3.06081608907947e-82
<https://identifiers.org/wikipathways/WP4535_r109210>	WP4535	Envelope proteins and their potential roles in EDMD physiopathology	46	3	7.37536519887454e-83	3	1.57389289126377e-82	4	2.90294276346642e-81	3	2.6347520093843e-81	3	7.01523767896176e-83	4	9.53806265260692e-80	3	6.31421575880253e-85	4	3.06081608907947e-82
<https://identifiers.org/wikipathways/WP4536_r110928>	WP4536	Genes related to primary cilium development (based on CRISPR)	103	7	1.32462181231243e-151	7	7.01311444753946e-151	8	1.40448762654286e-151	7	3.42756850644794e-148	7	1.18653703311679e-151	8	3.36702475667994e-148	7	3.73253114132014e-156	8	9.29400254188737e-154
<https://identifiers.org/wikipathways/WP4537_r103300>	WP4537	Hippo-Yap signaling pathway	23	5	1.46084216178016e-38	5	2.01102731853791e-38	5	5.18311192219926e-39	5	6.60115773595832e-38	5	1.43032932561056e-38	5	2.33911460485811e-38	5	1.96417872240973e-39	5	1.96417872240973e-39
<https://identifiers.org/wikipathways/WP4538_r104390>	WP4538	Regulatory circuits of the STAT3 signaling pathway	78	13	6.62294896273543e-106	13	2.0677790469806e-105	13	1.64939550090797e-107	13	1.42276007274081e-103	13	6.14318845674316e-106	13	3.54198588236987e-105	13	5.18168303166079e-109	13	5.18168303166079e-109
<https://identifiers.org/wikipathways/WP4539_r113659>	WP4539	Synaptic signaling pathways associated with autism spectrum disorder	50	9	2.03482243572311e-74	9	4.19362853265652e-74	9	1.95046143883743e-75	9	6.16800129400448e-73	9	1.93992355844258e-74	9	5.90296920368241e-74	9	2.16842495558811e-76	9	2.16842495558811e-76
<https://identifiers.org/wikipathways/WP4540_r120395>	WP4540	Hippo signaling regulation pathways	98	17	1.05429854031729e-123	17	4.32815748818382e-123	17	1.07971226630403e-125	17	8.22878609859302e-121	17	9.60399910767582e-124	17	8.43781676206707e-123	17	1.47354611510417e-127	17	1.47354611510417e-127
<https://identifiers.org/wikipathways/WP4541_r116745>	WP4541	Hippo-Merlin signaling dysregulation	120	22	1.24873123088097e-140	22	6.83829884290447e-140	23	4.13146129660686e-141	22	3.78811521423773e-137	22	1.11606572834039e-140	23	1.16163447779998e-137	22	2.84489572988991e-145	23	2.46640090669615e-143
<https://identifiers.org/wikipathways/WP4542_r120673>	WP4542	Leukocyte-intrinsic Hippo pathway functions	36	9	5.33160795566081e-52	9	8.60061477875417e-52	9	1.13125149690658e-52	9	5.08976144176162e-51	9	5.16586864102922e-52	9	1.07824139494526e-51	9	2.64830927361548e-53	9	2.64830927361548e-53
<https://identifiers.org/wikipathways/WP4545_r121824>	WP4545	Oxysterols derived from cholesterol	52	6	1.71014675904486e-84	6	3.84489464895783e-84	6	1.23609813487215e-85	6	7.81334137671229e-83	6	1.62104672881069e-84	6	5.63932100881499e-84	6	1.05472776886646e-86	6	1.05472776886646e-86
<https://identifiers.org/wikipathways/WP4549_r119333>	WP4549	Fragile X syndrome	112	9	6.10950949088631e-158	9	3.63968362560191e-157	9	1.86716998598612e-160	9	2.75588059596061e-154	9	5.43013173362747e-158	9	8.46069573323802e-157	9	8.18926513880362e-163	9	8.18926513880362e-163
<https://identifiers.org/wikipathways/WP455_r117740>	WP455	GPCRs, class A rhodopsin-like	262	35	1.07184317026923e-258	35	4.79679131466952e-257	35	4.6498295434533e-264	35	6.384308928001e-251	35	8.33785970484954e-259	35	2.89007918039476e-256	35	4.27430484358233e-269	35	4.27430484358233e-269
<https://identifiers.org/wikipathways/WP4553_r103606>	WP4553	FBXL10 enhancement of MAP/ERK signaling in diffuse large B-cell lymphoma	35	1	1.17770153397459e-70	1	2.14788589738007e-70	2	1.53558118824795e-68	1	2.00582521760901e-69	1	1.13187836806236e-70	2	2.40417818105096e-67	1	2.70557058239211e-72	2	2.61087561200844e-69
<https://identifiers.org/wikipathways/WP4558_r107928>	WP4558	Overview of interferons-mediated signaling pathway	37	3	2.61449740542356e-68	3	4.76830669218362e-68	3	3.72567239115895e-69	3	4.4529319830919e-67	3	2.51276997709854e-68	3	6.33504517736881e-68	3	6.00636669291056e-70	3	6.00636669291056e-70
<https://identifiers.org/wikipathways/WP4559_r104316>	WP4559	Interactions between immune cells and microRNAs in tumor microenvironment	50	8	1.05431214286167e-76	8	2.211051950434e-76	8	9.55068169180447e-78	8	3.46950072787742e-75	8	1.00398574042457e-76	8	3.1380226127078e-76	8	1.00700849330713e-78	8	1.00700849330713e-78
<https://identifiers.org/wikipathways/WP4560_r108134>	WP4560	MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement	18	3	3.63070543215484e-34	3	4.73993491799039e-34	3	1.52989087595523e-34	3	1.27743319437309e-33	3	3.56734354696044e-34	3	5.37670328987387e-34	3	6.81086670754278e-35	3	6.81086670754278e-35
<https://identifiers.org/wikipathways/WP4561_r107544>	WP4561	Cell migration and invasion through p75NTR	30	5	3.40705337594743e-51	5	5.30615796699976e-51	5	8.10216196844094e-52	5	2.75542493232372e-50	5	3.30881594714564e-51	5	6.54256027864477e-51	5	2.11061043754064e-52	5	2.11061043754064e-52
<https://identifiers.org/wikipathways/WP4564_r117803>	WP4564	Neural crest cell migration during development	39	7	1.37814801587271e-61	7	2.42696863263204e-61	7	2.20007950978452e-62	7	1.98988611732563e-60	7	1.32759260004289e-61	7	3.17147013633566e-61	7	3.94521155904015e-63	7	3.94521155904015e-63
<https://identifiers.org/wikipathways/WP4565_r117804>	WP4565	Neural crest cell migration in cancer	42	8	3.97155228370869e-64	8	7.24329628076167e-64	8	5.65948264579008e-65	8	6.76422632891588e-63	8	3.81702323371147e-64	8	9.62325037668187e-64	8	9.12397132486551e-66	8	9.12397132486551e-66
<https://identifiers.org/wikipathways/WP4566_r104315>	WP4566	Translation inhibitors in chronically activated PDGFRA cells	46	7	7.98367839795977e-73	7	1.58898824860537e-72	7	8.56932311272193e-74	7	2.05303811234598e-71	7	7.62889301362192e-73	7	2.20009685659205e-72	7	1.05927003556933e-74	7	1.05927003556933e-74
<https://identifiers.org/wikipathways/WP4577_r118444>	WP4577	Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway	44	3	1.07562967396484e-79	3	2.21679848429051e-79	3	1.03103551676351e-80	3	3.26047379093658e-78	3	1.02546507648611e-79	3	3.12037489292049e-79	3	1.14625344553353e-81	3	1.14625344553353e-81
<https://identifiers.org/wikipathways/WP4582_r108125>	WP4582	Cancer immunotherapy by CTLA4 blockade	16	2	6.0867708715537e-33	2	7.80695162963131e-33	2	2.71630625132838e-33	2	1.97000236740087e-32	2	5.98754132587876e-33	2	8.78194870679401e-33	2	1.27603590961906e-33	2	1.27603590961906e-33
<https://identifiers.org/wikipathways/WP4584_r119306>	WP4584	Biomarkers for pyrimidine metabolism disorders	19	3	4.03175939280781e-36	3	5.35745172170245e-36	3	1.60419021209435e-36	3	1.54200957389379e-35	3	3.9567733445562e-36	3	6.12821610723476e-36	3	6.76812068218155e-37	3	6.76812068218155e-37
<https://identifiers.org/wikipathways/WP4585_r108119>	WP4585	Cancer immunotherapy by PD-1 blockade	25	4	8.68825029767572e-45	4	1.26107135915079e-44	4	2.59635719675506e-45	4	5.03988402637277e-44	4	8.47708542214096e-45	4	1.50398519501555e-44	4	8.3775274763218e-46	4	8.3775274763218e-46
<https://identifiers.org/wikipathways/WP4586_r119267>	WP4586	Metabolism of alpha-linolenic acid	6	2	4.3357451379222e-11	2	4.65628463881452e-11	2	3.44081297957319e-11	2	6.07082696694489e-11	2	4.31537161890774e-11	2	4.81599581528983e-11	2	2.77115230785602e-11	2	2.77115230785602e-11
<https://identifiers.org/wikipathways/WP4589_r119266>	WP4589	Major receptors targeted by epinephrine and norepinephrine	21	1	1.17858004038033e-45	1	1.68076388263097e-45	1	3.72931306442996e-46	1	6.29089081236571e-45	1	1.15127531661962e-45	1	1.98787608384662e-45	1	1.26954309660941e-46	1	1.26954309660941e-46
<https://identifiers.org/wikipathways/WP4595_r121755>	WP4595	Urea cycle and associated pathways	24	4	5.96361500432459e-43	4	8.50466524611258e-43	4	1.88703241060154e-43	4	3.18319075105702e-42	4	5.82545310209528e-43	4	1.00586529842639e-42	4	6.42388806884351e-44	4	6.42388806884351e-44
<https://identifiers.org/wikipathways/WP4630_r120771>	WP4630	Measles virus infection	150	13	1.61163546772563e-192	13	1.69187771547212e-191	13	7.81618468217094e-196	13	1.0473802076339e-187	13	1.37978910192063e-192	13	5.13985274596768e-191	13	6.0813147191903e-199	13	6.0813147191903e-199
<https://identifiers.org/wikipathways/WP465_r122957>	WP465	Tryptophan metabolism	56	7	4.06690164288137e-88	7	9.63240666532856e-88	7	2.48251930607083e-89	7	2.37532287516712e-86	7	3.84177290087425e-88	7	1.44800191601578e-87	7	1.80789839547106e-90	7	1.80789839547106e-90
<https://identifiers.org/wikipathways/WP4655_r105163>	WP4655	Cytosolic DNA-sensing pathway	74	7	7.70328107750755e-114	7	2.48913683175354e-113	7	1.71601812421176e-115	7	1.94572686428724e-111	7	7.12906446460797e-114	7	4.33354157659585e-113	7	4.85558025856857e-117	7	4.85558025856857e-117
<https://identifiers.org/wikipathways/WP4656_r120396>	WP4656	Joubert syndrome	76	5	1.90245147711948e-121	5	6.58379138590908e-121	5	3.39207397612458e-123	5	6.63930228210253e-119	5	1.75267934560565e-121	5	1.18399201275021e-120	5	7.78885056273924e-125	5	7.78885056273924e-125
<https://identifiers.org/wikipathways/WP4657_r120007>	WP4657	22q11.2 copy number variation syndrome	154	12	5.44581843317066e-199	12	6.20811344749921e-198	12	2.02043399008827e-202	12	5.21666232335504e-194	12	4.63706956882412e-199	12	1.96087298729387e-197	12	1.22203930417227e-205	12	1.22203930417227e-205
<https://identifiers.org/wikipathways/WP4658_r119261>	WP4658	Small cell lung cancer	96	16	3.34855686190394e-123	16	1.35144509324918e-122	16	3.62429399384565e-125	16	2.41193632511143e-120	16	3.05376054101194e-123	16	2.61353962489271e-122	16	5.20980553151024e-127	16	5.20980553151024e-127
<https://identifiers.org/wikipathways/WP4659_r116555>	WP4659	Gastrin signaling pathway	114	12	1.07202618839658e-153	12	6.2799365980398e-153	13	5.05208957109763e-154	12	4.46724110784323e-150	12	9.53876686262664e-154	13	1.95291613465599e-150	12	1.59759646153497e-158	13	2.45538286934378e-156
<https://identifiers.org/wikipathways/WP466_r117096>	WP466	DNA replication	42	3	1.71234331543093e-76	3	3.40806990233108e-76	3	1.83795268526684e-77	3	4.40336635916965e-75	3	1.63624876965883e-76	3	4.71877868558539e-76	3	2.27192764316124e-78	3	2.27192764316124e-78
<https://identifiers.org/wikipathways/WP4661_r117646>	WP4661	Amino acid metabolism pathway excerpt: histidine catabolism extension	6	1	5.10087663284958e-14	1	5.57638878899941e-14	1	3.82100275355155e-14	1	7.76817270242475e-14	1	5.07094197286457e-14	1	5.81642006677515e-14	1	2.91546797249452e-14	1	2.91546797249452e-14
<https://identifiers.org/wikipathways/WP4666_r119241>	WP4666	Hepatitis B infection	152	12	7.79530010005297e-197	12	8.59851377868329e-196	13	4.79377789602628e-198	12	6.39473974558451e-192	12	6.65209888054053e-197	13	3.6839000666845e-193	12	2.15311998114608e-203	13	3.37211713970281e-201
<https://identifiers.org/wikipathways/WP4673_r119920>	WP4673	Male infertility	145	15	7.40171244992377e-183	15	6.9208033109684e-182	15	5.22956559836715e-186	15	2.78917665630196e-178	15	6.38558336126265e-183	15	1.99061642691412e-181	15	5.79481454268826e-189	15	5.79481454268826e-189
<https://identifiers.org/wikipathways/WP4674_r117748>	WP4674	Head and neck squamous cell carcinoma	74	6	3.0585914658282e-116	6	1.00542168622479e-115	6	6.44427407161056e-118	6	8.37643791513571e-114	6	2.8273910057935e-116	6	1.76467661641485e-115	6	1.73060396181161e-119	6	1.73060396181161e-119
<https://identifiers.org/wikipathways/WP4685_r119240>	WP4685	Melanoma	68	6	6.82721951660973e-108	6	2.02434274466086e-107	6	2.01028944953879e-109	6	1.14995046766194e-105	6	6.35428730170669e-108	6	3.38402943522315e-107	6	7.38982280596844e-111	6	7.38982280596844e-111
<https://identifiers.org/wikipathways/WP4686_r122622>	WP4686	Leucine, isoleucine and valine metabolism	25	2	3.53443594501154e-50	2	5.31414479480991e-50	2	9.42147953035195e-51	2	2.42110058192915e-49	2	3.44051520846669e-50	2	6.44426531873737e-50	2	2.73132594030779e-51	2	2.73132594030779e-51
<https://identifiers.org/wikipathways/WP4688_r120418>	WP4688	Serine metabolism	8	1	9.86663307336237e-19	1	1.11770797428111e-18	1	6.58589593860051e-19	1	1.77727981556176e-18	1	9.78571198852386e-19	1	1.18559608481693e-18	1	4.51073175344072e-19	1	4.51073175344072e-19
<https://identifiers.org/wikipathways/WP4698_r119119>	WP4698	Vitamin D-sensitive calcium signaling in depression	37	3	2.61449740542356e-68	3	4.76830669218362e-68	3	3.72567239115895e-69	3	4.4529319830919e-67	3	2.51276997709854e-68	3	6.33504517736881e-68	3	6.00636669291056e-70	3	6.00636669291056e-70
<https://identifiers.org/wikipathways/WP47_r120579>	WP47	Hedgehog signaling pathway	16	1	7.11903025912711e-36	1	9.29399003527545e-36	1	2.99978603128478e-36	1	2.50477096935903e-35	1	6.99479126854986e-36	1	1.05425554703409e-35	1	1.33546406030252e-36	1	1.33546406030252e-36
<https://identifiers.org/wikipathways/WP4705_r119081>	WP4705	Pathways of nucleic acid metabolism and innate immune sensing	20	1	9.62507032977294e-44	1	1.34861292487293e-43	1	3.22496786904986e-44	1	4.7271550961491e-43	1	9.41304627921844e-44	1	1.5817813981465e-43	1	1.15830693957313e-44	1	1.15830693957313e-44
<https://identifiers.org/wikipathways/WP4707_r116586>	WP4707	Aspirin and miRNAs	11	4	4.06998614276199e-17	4	4.61054539390957e-17	4	2.7166820746727e-17	4	7.33127923919225e-17	4	4.0366061952661e-17	4	4.89058384986981e-17	4	1.86067684829429e-17	4	1.86067684829429e-17
<https://identifiers.org/wikipathways/WP4718_r119764>	WP4718	Cholesterol metabolism with Bloch and Kandutsch-Russell pathways	47	5	3.0123204081762e-79	5	6.31729128695431e-79	5	2.72876619765849e-80	5	9.9128592225069e-78	5	2.8685306869274e-79	5	8.96577889345096e-79	5	2.87716712373475e-81	5	2.87716712373475e-81
<https://identifiers.org/wikipathways/WP4719_r116307>	WP4719	Eicosanoid metabolism via cyclooxygenases (COX)	30	6	9.76688634438275e-49	6	1.49456782737159e-48	6	2.45900615742177e-49	6	7.26972944644747e-48	6	9.49630176830807e-49	6	1.82755517116811e-48	6	6.75747108419275e-50	6	6.75747108419275e-50
<https://identifiers.org/wikipathways/WP4721_r116526>	WP4721	Eicosanoid metabolism via lipooxygenases (LOX)	29	1	2.66894505927068e-60	1	4.38166572030529e-60	1	5.34935028074568e-61	1	2.76796725627406e-59	1	2.58297952265631e-60	1	5.53900820804739e-60	1	1.18721763103484e-61	1	1.18721763103484e-61
<https://identifiers.org/wikipathways/WP4722_r117144>	WP4722	Glycerolipids and glycerophospholipids	22	1	1.51100005176967e-47	1	2.19316758113179e-47	1	4.51540382044357e-48	1	8.76501569803979e-47	1	1.47427572558972e-47	1	2.61562642611399e-47	1	1.4569613002299e-48	1	1.4569613002299e-48
<https://identifiers.org/wikipathways/WP4723_r120315>	WP4723	Omega-3 / omega-6 fatty acid synthesis	14	4	1.79654021368333e-23	4	2.14653873730548e-23	4	1.00892751434701e-23	4	4.16126700628186e-23	4	1.77554664143593e-23	4	2.33501264549489e-23	4	5.87812432785232e-24	4	5.87812432785232e-24
<https://identifiers.org/wikipathways/WP4724_r117812>	WP4724	Omega-9 fatty acid synthesis	14	3	4.212286550254e-26	3	5.12300414631387e-26	3	2.23337579268843e-26	3	1.06087112970856e-25	3	4.15818885582187e-26	3	5.61976569312849e-26	3	1.23295738392287e-26	3	1.23295738392287e-26
<https://identifiers.org/wikipathways/WP4725_r117175>	WP4725	Sphingolipid metabolism overview	23	2	1.7376500595351e-46	2	2.52214271830156e-46	2	5.1927143935101e-47	2	1.00797680527456e-45	2	1.69541708442819e-46	2	3.00797039003113e-46	2	1.67550549526437e-47	2	1.67550549526437e-47
<https://identifiers.org/wikipathways/WP4726_r120323>	WP4726	Sphingolipid metabolism: integrated pathway	26	2	5.3458600680803e-52	2	8.1804478783338e-52	2	1.34592564719308e-52	2	3.97905278951686e-51	2	5.19775685183789e-52	2	1.00030387037117e-51	2	3.69867054416676e-53	2	3.69867054416676e-53
<https://identifiers.org/wikipathways/WP474_r117098>	WP474	Endochondral ossification	64	13	1.92806813796969e-86	13	4.72772036405903e-86	13	1.05170132661496e-87	13	1.32610814318733e-84	13	1.81717073816907e-86	13	7.22443098196168e-86	13	6.8922910886513e-89	13	6.8922910886513e-89
<https://identifiers.org/wikipathways/WP4746_r120402>	WP4746	Thyroid hormones production and peripheral downstream signaling effects	95	9	6.35507953532029e-137	9	2.84047621331015e-136	9	4.9380540887106e-139	9	7.40469635471682e-134	9	5.75664750941857e-137	9	5.76460899280537e-136	9	5.20085533352943e-141	9	5.20085533352943e-141
<https://identifiers.org/wikipathways/WP4747_r116543>	WP4747	Netrin-UNC5B signaling pathway	52	10	3.10670644763243e-75	10	6.51523308061225e-75	11	4.70238521436081e-74	10	1.0223462144812e-73	10	2.95841131511785e-75	11	1.42315221165147e-72	10	2.96731836027852e-77	11	5.22787543838151e-75
<https://identifiers.org/wikipathways/WP4752_r119239>	WP4752	Base excision repair	31	4	1.78195453063529e-55	4	2.87453702498469e-55	4	3.78092077843101e-56	4	1.70112347652466e-54	4	1.72656037467559e-55	4	3.60374797775818e-55	4	8.85130104817997e-57	4	8.85130104817997e-57
<https://identifiers.org/wikipathways/WP4753_r119238>	WP4753	Nucleotide excision repair	43	3	4.24384798637068e-78	3	8.59513230499894e-78	3	4.30457328248771e-79	3	1.18488581629715e-76	3	4.05058705212015e-78	3	1.19992598155034e-77	3	5.04612028181485e-80	3	5.04612028181485e-80
<https://identifiers.org/wikipathways/WP4754_r115147>	WP4754	IL-18 signaling pathway	185	49	2.18090301013555e-164	49	2.25199707927224e-163	54	7.87487268457222e-160	49	1.31134852299336e-159	49	1.86920144402217e-164	54	3.24145147604841e-155	49	9.13227380921946e-171	54	8.29555473931791e-163
<https://identifiers.org/wikipathways/WP4756_r120634>	WP4756	Renin-angiotensin-aldosterone system (RAAS)	44	2	1.85773691531074e-82	2	3.8959551569254e-82	2	1.68286537012542e-83	2	6.11338835800628e-81	2	1.76905993643381e-82	2	5.52931168267092e-82	2	1.77438613859685e-84	2	1.77438613859685e-84
<https://identifiers.org/wikipathways/WP4758_r108284>	WP4758	Nephrotic syndrome	49	5	2.3441701280747e-82	5	5.09024036781337e-82	6	5.81661962741762e-81	5	9.09038783162833e-81	5	2.22714656514392e-82	6	2.07472569435228e-79	5	1.79896563618833e-84	6	5.81665555700889e-82
<https://identifiers.org/wikipathways/WP4760_r108400>	WP4760	PKC-gamma calcium signaling pathway in ataxia	22	3	7.41130415392509e-42	3	1.03843195215218e-41	3	2.48322525916846e-42	3	3.63990942403476e-41	3	7.24804563499825e-42	3	1.21797167657282e-41	3	8.91896343471333e-43	3	8.91896343471333e-43
<https://identifiers.org/wikipathways/WP4767_r116441>	WP4767	FGFR3 signaling in chondrocyte proliferation and terminal differentiation	27	3	4.81127406127233e-51	3	7.36240309050039e-51	3	1.21133308247379e-51	3	3.58114751056529e-50	3	4.67798116665423e-51	3	9.00273483334063e-51	3	3.32880348974998e-52	3	3.32880348974998e-52
<https://identifiers.org/wikipathways/WP477_r117044>	WP477	Cytoplasmic ribosomal proteins	88	1	2.32370065391591e-148	1	1.05638918070871e-147	1	1.70872593939744e-150	1	2.93297419149722e-145	1	2.10252746304887e-148	1	2.16116025730948e-147	1	1.708909047712e-152	1	1.708909047712e-152
<https://identifiers.org/wikipathways/WP4784_r111633>	WP4784	Proteoglycan biosynthesis	18	5	5.3051686239375e-29	5	6.68501461093702e-29	5	2.50742230060121e-29	5	1.5793902979926e-28	5	5.22478843637499e-29	5	7.4571917443741e-29	5	1.24298657955991e-29	5	1.24298657955991e-29
<https://identifiers.org/wikipathways/WP4786_r117852>	WP4786	Type I collagen synthesis in the context of osteogenesis imperfecta	33	8	3.3194434319945e-49	8	5.16971390499114e-49	10	2.90687314556021e-45	8	2.68457114834965e-48	8	3.22373210850477e-49	10	1.98829299979421e-44	8	2.05633759771817e-50	10	8.42714565379531e-46
<https://identifiers.org/wikipathways/WP4787_r118872>	WP4787	Osteoblast differentiation and related diseases	118	15	4.02232130226968e-152	15	2.39626061676782e-151	15	1.22928978517736e-154	15	1.81439070422579e-148	15	3.57503897471362e-152	15	5.57027315050263e-151	15	5.39157123282654e-157	15	5.39157123282654e-157
<https://identifiers.org/wikipathways/WP4788_r117658>	WP4788	Autosomal recessive osteopetrosis pathways	11	1	1.97422001503664e-25	1	2.35883377725878e-25	1	1.10871155422748e-25	1	4.57282088602404e-25	1	1.95115015542411e-25	1	2.56594796208229e-25	1	6.45947728335421e-26	1	6.45947728335421e-26
<https://identifiers.org/wikipathways/WP4790_r116413>	WP4790	FGF23 signaling in hypophosphatemic rickets and related disorders	23	4	4.26149988850699e-41	4	5.97098372487506e-41	4	1.42785452402186e-41	4	2.09294791882001e-40	4	4.16762624012396e-41	4	7.0033371402938e-41	4	5.1284039749602e-42	4	5.1284039749602e-42
<https://identifiers.org/wikipathways/WP4792_r119117>	WP4792	Purine metabolism	15	1	7.60846358944202e-34	1	9.75868953703897e-34	1	3.39538281416043e-34	1	2.46250295925109e-33	1	7.48442665734825e-34	1	1.09774358834925e-33	1	1.5950448870238e-34	1	1.5950448870238e-34
<https://identifiers.org/wikipathways/WP4803_r110008>	WP4803	Ciliopathies	184	9	7.36663627518809e-237	9	1.4387109375638e-235	9	4.74689533464835e-241	9	8.88856201322677e-231	9	6.05337091300622e-237	9	5.85993701767415e-235	9	5.53460835210254e-245	9	5.53460835210254e-245
<https://identifiers.org/wikipathways/WP4806_r116801>	WP4806	EGFR tyrosine kinase inhibitor resistance	85	14	3.91258751032116e-113	14	1.35402454448248e-112	14	6.97614968512368e-115	14	1.36544093232445e-110	14	3.60456568784471e-113	14	2.43500158459763e-112	14	1.60185738233236e-116	14	1.60185738233236e-116
